,title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
161,Machine Learning Quant,Machine Learning Engineer,fionics (HIRECLOUT),"Bengaluru, Karnataka","Minimum, 2 year track record creating profitable Alpha strategies using Machine Learning.
Strong understanding of Python and modern ML tools like Scikit,…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=4a15cb8ed2d0f5de&fccid=37cd0971f3cd9a3b&vjs=3
162,Junior Backend Engineer,Machine Learning Engineer,Hailify,Remote,"Backend Engineers primarily write server scripts and API's to be utilized by front side engineers and UX designers.
Write clean, scalable code using .",PostedPosted 9 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=13d9c78838bbd8f7&fccid=6200925e5e3e12bc&vjs=3
163,Artificial Intelligence/Machine Learning Engineer(0 to less than 2 years relevant experience),Machine Learning Engineer,SISL Infotech,India,Artificial Intelligence/Machine Learning Engineer(0 to less than 2 years relevant experience).,PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=ac8d30c4c5645fbd&fccid=b5a3e80cea4426dc&vjs=3
164,Machine Learning & AI Online Trainer,Machine Learning Engineer,Prognoz,Remote,"1+ year experience in Machine Learning, Deep Learning, NLP field.
Must have worked on minimum 2 AI Projects and must have at least 50 hours experience in online…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=a161ebf041cea397&fccid=d3c16ab1f2de3595&vjs=3
165,Deep Learning Engineer,Machine Learning Engineer,Evigway Technologies,"Gurgaon, Haryana","Research and work on DL models from the ground up, for new use cases, based on set business objectives; Evaluate different Machine Learning algorithms, Analyse…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=ad5cf6746c20f9e1&fccid=a08893d3feb69100&vjs=3
166,Data Scientist,Machine Learning Engineer,Cendyn,"Gurgaon, Haryana","Strong knowledge of data mining and machine learning techniques such as decision tree (CHAID/CART), clustering, segmentation, association rules, etc.",PostedPosted 19 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=3202db261bbf44d6&fccid=904e9483c827415b&vjs=3
167,Machine Learning Data Associate (On Contract),Machine Learning Engineer,Observe.AI,"Bengaluru, Karnataka","AI maximizes agent performance, pinpoints new revenue and coaching opportunities, and up-levels quality assurance and compliance.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=38e7d2c14fcca441&fccid=3b5529b0eb6070d8&vjs=3
168,Software Engineer Trainee,Machine Learning Engineer,Techbrawn IT Solution,"Gurgaon, Haryana","TECHBRAWN is a professional consulting organization, specialized in SAP solution integration and business process optimization with focus on the Retail industry…",EmployerActive 7 days ago,"₹3,00,000 - ₹3,60,000 a year",2023-08-30,https://in.indeed.com/company/Techbrawn-IT-Solution/jobs/Software-Trainee-0360818be69828e1?fccid=22e77852c5da3818&vjs=3
169,Data Analyst,Machine Learning Engineer,Digital Green,"Delhi, Delhi","Digital Green is seeking a results-oriented, innovative data analyst to drive DG transition to a more efficient and effective internal data management and…",PostedPosted 12 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=48f7504b7eb9c457&fccid=5493eab299fcc038&vjs=3
170,Data Science Engineer,Machine Learning Engineer,Tuebora,Remote,"Tuebora provides extensive medical, dental, and vision benefits to our employees and their families.
In addition, we offer generous holidays and vacation days…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=f259d46c043ae61b&fccid=398e38859d8d682a&vjs=3
