title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
Data Engineer (India),Data Engineer,Athena,Remote in Remote,Model front- & back-end data sources to draw a comprehensive picture of data flow throughout the organization and enable powerful data analysis.,EmployerActive 2 days ago,,2023-08-30,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ci2m3NHTCLPLjCafZ29-GlYSVkV9guijR6sPMMcpnip1x9gIab11viNxWecQBuR5h8mBLesuztJHV3A-uNL0eIgSXSeuY8lJgG-3a7ovwIZGqnjq6kM5-PG6pHN0jf0kl5FRuv_GeXfUiqRrwQRB_YmlPexVwy9I0-rcOwgCw5fxd67J6jf9ByTEnrWr1S6mLk8-NgEZglH8KpX9imzE9Dnj4qH_AaNObEAdt8IXeJABz57tLPD7gzYq1nujcX7SZdoQXs0FT0tWcQssNnN7DtzWyQyZq4B8eXIOuCgUPSW7Oz6it-RlG7AjDoqXJi7WRkOScnzEhsCuq2sPsn_D9ttPNW3u1rZJYnEECiW-sjU8iKFNlVJZkgTyYrvl0L0KUHHih1ZoTf8EKyhQESHdsTQJwLFj-bakyawkgKF2UPjnxBjPWz--hc8rqHSHjtAhHz0Gt9F3R7Zq_3pJzo4iQmUJlCwlrZcGUJ0jX1_4rbqb79cArB_6NRIXI6MS0RmYDpjruyrJF-pxnDLFOwMZT_73Xe7YMTiBtvjicSpZPflkjW1K0bb0MxrUoowVLXQJiEgHhq1RdSefSwVqFqLXyNqhy0a0dEY9L1cQz1W6rPuyWkDJPfwtxpbTv1VKyG6dnxCVjx1W_aO1vhSqFwHdJesM3Yeg2xm7HeXePRGH_29Q==&xkcb=SoBh-_M3Lj65eDRGkJ0LbzkdCdPP&p=0&fvj=1&vjs=3
Data Engineer,Data Engineer,Aventure Corporate Solution,Remote in Remote,"Troubleshoot and resolve data-related issues, providing timely and effective resolutions to minimize disruptions to data pipelines and analytics processes.",EmployerActive 27 days ago,"₹10,00,000 - ₹35,00,000 a year",2023-08-30,https://in.indeed.com/company/Aventure-Corporate-Solution/jobs/Data-Engineer-fcae73c97add54de?fccid=395f017ab28a5267&vjs=3
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data Engineer,Data Engineer,Uvation,"Remote in Delhi, Delhi","Data Architecture: Design, create, and maintain robust and scalable data infrastructure, including data pipelines and data warehouses.",PostedPosted 30+ days ago,,2023-08-30,https://in.indeed.com/rc/clk?jk=a2a8ecd3bd9ed8aa&fccid=ade7c615896d91f4&vjs=3
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data Engineer,Data Engineer,Datacurate Technologies,"Remote in Thane District, Maharashtra","Design, develop & support data management / Analytics programs.
Strong coding skills and fundamentals in data structures, database technology & SQL.",EmployerActive 1 day ago,"₹6,00,000 - ₹12,00,000 a year",2023-08-30,https://in.indeed.com/company/Datacurate-Technologies/jobs/Data-Engineer-a04ed9891d252f14?fccid=dd09fe5e26dfb476&vjs=3
,,,,,,,,
,,,,,,,,
ETL/Data Engineer,Data Engineer,UST,"Bengaluru, Karnataka","Experience using data loader tools.
Good understanding of Database architectures and data models.
Good understanding of Database architectures and data models.",PostedPosted 30+ days ago,,2023-08-30,https://in.indeed.com/rc/clk?jk=1cd414fc281b624a&fccid=810178099fb1fcbc&vjs=3
