,title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
257,CB Data Layer Build Analyst,Data Analyst,Barclays,"Remote in Delhi, Delhi",O Accuracy of reporting while connecting reporting to the authoritative data sources and identifying correct flags on the data for identification.,PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=ab0005a57b42d657&fccid=057abf3fd357e717&vjs=3
258,Senior Research Analyst,Data Analyst,Barclays,"Remote in Delhi, Delhi","Provide deal and pitch book development support to BCB (UK) sales teams.
Enhance the conversion of sales pitches into actual deals and customer acquisition, i.e…",PostedPosted 19 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=f246c81eb872384b&fccid=057abf3fd357e717&vjs=3
259,Data Analyst,Data Analyst,AMBC,"Hyderabad, Telangana","Provide support for a range of data cleansing and data modeling activities, as required by the business, using internal and external data sources.",PostedPosted 26 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=b0967b9437271931&fccid=a725dce026aedc9c&vjs=3
260,Data Analyst,Data Analyst,Galytix,"Gurgaon, Haryana","Acquiring data from internal as well as secondary data sources.
Cleaning and filtering data, assessing data quality and create concise end product.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=745b32ab2989a502&fccid=12332f0a8c9a3973&vjs=3
261,AI-ML Data Analyst,Data Analyst,Rayvat Outsourcing,"Ahmedabad, Gujarat","Efficiently extract data from diverse sources for utilization in email marketing and potential data sources.
Certifications in data-related fields.",EmployerActive 2 days ago,"₹20,000 - ₹30,000 a month",2023-08-30,https://in.indeed.com/company/Rayvat-Outsourcing/jobs/Data-Analyst-a9ccd298fea5d5d4?fccid=3ff42563c0a3ac48&vjs=3
262,Master Data Management (MDM) Analyst,Data Analyst,Innovatia Inc.,Remote,"Primary responsibilities for this position will include detailed data entry, data amendment transactions, bulk data analysis and repair activities, phone/ticket…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=d358704ac46c7b70&fccid=e7750bbbb0a8bc72&vjs=3
263,Data Analyst Intern,Data Analyst,PPN Solutions Pvt Ltd,"Sahibzada Ajit Singh Nagar, Ludhiana, Punjab","PPN SOLUTIONS is looking for freshers to join our EPM (Enterprise Performance Management)Team.
Sahibzada Ajit Singh Nagar, Punjab: Reliably commute or planning…",EmployerActive 2 days ago,"₹18,000 - ₹20,000 a month",2023-08-30,https://in.indeed.com/company/PPN-Solutions-Pvt-Ltd/jobs/Data-Analyst-ae0d02bcb6eb5ce1?fccid=ef297974c7bafa82&vjs=3
264,Data Science Senior Analyst,Data Analyst,Accenture,"Mumbai, Maharashtra","Manage, architect, and analyze big data to build data driven business insights and high impact data models to generate significant business value.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=2f7382b0006b8eb3&fccid=a4e4e2eaf26690c9&vjs=3
265,Business Analyst,Data Analyst,EY,"Noida, Uttar Pradesh","Conducts tests using client data to be certain client needs will be met.
Ever-increasing regulations require audit departments to gather, organize and analyse…",PostedPosted 13 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=32abaff5045978f0&fccid=1544766d4c2915b0&vjs=3
266,Data Analyst,Data Analyst,FE fundinfo,"Remote in Chennai, Tamil Nadu","Responsible for collection, validation & analysis of mutual fund data.
Be part of the Global Data Operation team who is responsible for the core data collection…",EmployerActive 1 day ago,"₹3,00,000 - ₹3,50,000 a year",2023-08-30,https://in.indeed.com/rc/clk?jk=8dd54cf4498053a3&fccid=bd1997296f13c938&vjs=3
