,title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
14,Data Scientist-HTHD,Data Scientist,Ford Motor Company,"Chennai, Tamil Nadu","Analyze and extract relevant information from large amounts of Ford’s historical business data, both in structured and unstructured formats from Big data…",PostedPosted 9 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=4066c11b47d27751&fccid=761c44c17d636bfe&vjs=3
15,Data Scientist,Data Scientist,Serendipity Corporate Services,"Pune, Maharashtra","Of programming methods, using a variety of data tools, building and implementing models,.
Deliver even better products in the space of Natural Language…",EmployerActive 2 days ago,"Up to ₹14,27,000 a year",2023-08-30,https://in.indeed.com/company/Serendipity-Corporate-Services/jobs/Data-Scientist-a4432851cef885de?fccid=33b7955d113d73b9&vjs=3
16,Data Scientist,Data Scientist,RamSoft,"Remote in Bengaluru, Karnataka","Experience creating efficient data pipeline.
Experience performing complex data transformations.
Experience with data quality monitoring and anomaly detection.",PostedPosted 13 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=c5c67d51e663dd14&fccid=23d8a7bce610c3ae&vjs=3
17,Artificial Intelligence and Machine Learning Trainee,Data Scientist,Midas Fintech Solutions Private Limited,"Mumbai, Maharashtra","Perform exploratory data analysis to gain insights into data patterns and quality.
Knowledge of data preprocessing, exploratory data analysis, and feature…",EmployerActive 2 days ago,"₹30,000 - ₹50,000 a month",2023-08-30,https://in.indeed.com/company/Midas-Fintech-Solutions-Private-Limited/jobs/Machine-Learning-Engineer-64aefdd3ff560aef?fccid=2de224ff6c4cdfb7&vjs=3
18,Data Scientist,Data Scientist,8848 Digital LLP,Remote in Remote,"Job Types: Full-time, Contractual / Temporary.
Data Scientist: 3 years (Required).
Probabilistic models, Anomalies: 3 years (Required).",PostedPosted 30+ days ago,"₹10,00,000 - ₹12,00,000 a year",2023-08-30,https://in.indeed.com/company/Nexcen-Global/jobs/Data-Scientist-3c317c9098c965c9?fccid=8998e89e6dd8d44a&vjs=3
19,Machine Learning Engineer,Data Scientist,Influetize,"Remote in Delhi, Delhi","Machine Learning Integration*: Utilize OpenAI's GPT-3 or GPT-4 models to fine-tune and embed user data to meet specific use-case objectives, such as lead…",EmployerActive 13 days ago,"₹40,000 - ₹1,00,000 a month",2023-08-30,https://in.indeed.com/company/Influetize/jobs/Machine-Learning-Engineer-2582d6d940b3401b?fccid=3fca696ca08eeb13&vjs=3
20,Data Scientist,Data Scientist,SS Supply Chain Solutions,"Bengaluru, Karnataka","Able to understand various data structures and common methods in data transformation.
Presenting information using data visualization techniques.",PostedPosted 30+ days ago,"₹10,00,000 - ₹35,00,000 a year",2023-08-30,https://in.indeed.com/rc/clk?jk=e8f01ca4cf3e3e4f&fccid=badaebc4bd06db71&vjs=3
21,Data Science - 51878295,Data Scientist,Sage IT India,India,"They design tailor-made solutions from this data, aiding organizations in achieving their unique objectives and goals.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=cbe2878c961b9407&fccid=159914c2b3cfd876&vjs=3
22,Data Analytics Faculty,Data Scientist,Miracle Information Services Private Limited,"Bhopal, Madhya Pradesh","Python, *Big Data Analytics, Power Bi, Artificial Intelligence, Tableau, Machine Learning, Data Science, Data Analysis, *Data…",EmployerActive 2 days ago,"₹20,000 - ₹45,000 a month",2023-08-30,https://in.indeed.com/company/Miracle-Information-Services-Private-Limited/jobs/Faculty-5b7ce1bdb88556f1?fccid=cda15f8332b08274&vjs=3
23,Data Analyst,Data Scientist,Digital Green,"Delhi, Delhi","Perform data quality assurance and data cleaning (automated).
Participate in strategic data review meetings to gain insights from data.",PostedPosted 12 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=48f7504b7eb9c457&fccid=5493eab299fcc038&vjs=3
24,Data Scientist II,Data Scientist,Mastercard,"Pune, Maharashtra+1 location",Manipulates large data sets and applies various technical and statistical analytical techniques to draw insights from large data sets.,PostedPosted 19 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=66869adab2da0b04&fccid=10b5c722d846df43&vjs=3
25,Data Scientist,Data Scientist,Siemens Healthineers,"Bengaluru, Karnataka","We are looking for a Data Scientist to drive the design and development of AI features for the Ultrasound product.
Strong coding skills preferably in Python.",PostedPosted 12 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=3a025621c40cbb1b&fccid=c5679bf29a1db253&vjs=3
26,DATA SCIENTIST,Data Scientist,Tech27 Systems Ltd.,"Calicut, Kerala","Post graduate degree in Statistics, Math or any other with strong analytical background .
Must have exposure to Big Data analytics..",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=c0a4ba17fe0b072d&fccid=93f2b878c8f97b3c&vjs=3
27,Data Science,Data Scientist,Softweb Solutions,"Ahmedabad, Gujarat","AI, ML, Deep learning, Computer Vision, NLP Skills.
Python/R Scripting Experience(Must).
Any Cloud Experience (Azure/AWS/GCP).",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=c24ef3edb7696bba&fccid=91edf2d1faaefd1c&vjs=3
28,Associate Data Scientist,Data Scientist,Gurucul Solutions,"Pune, Maharashtra","Work with large (terabytes of data, billions of daily transactions) structured and unstructured data sets.
Comfortable with multiple databases and large data…",EmployerActive 8 days ago,"₹3,00,000 - ₹10,00,000 a year",2023-08-30,https://in.indeed.com/company/GuruCul-Solutions/jobs/Data-Scientist-c63f83ae4d948bd9?fccid=c357b80b775b5866&vjs=3
29,Junior Data Scientist Bangalore,Data Scientist,Datawrkz,"Bengaluru, Karnataka","Assist in data analysis projects, extracting insights from tabular datasets like customer data, ads data, and transactional data.",PostedPosted 16 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=3e1ab9b4353a09f0&fccid=014a57859065e0f0&vjs=3
30,Machine Learning Intern,Data Scientist,Infrrd,India,"First off, it’s pronounced In-fur-d.
We are looking for Machine Learning Intern who will help us in designing, experimenting and implementing deep learning…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=c8abd9c659e9c852&fccid=9eb89d5852677fc4&vjs=3
31,Data Science Intern,Data Scientist,Brave AI Lab,India,"Excellent communication and data presentation skills.
Problem-solving ability and passion for data.
Familiarity with data processing with Python & SQL.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=3d05dd5d02183025&fccid=f126c0eccc0e9a22&vjs=3
32,Data Scientist,Data Scientist,HOME INTEL INDIA PRIVATE LIMITED,"Chennai, Tamil Nadu","2+ years of experience with data science.
Working experience in data visualization tools.
Deep understanding of data science concepts and algorithms.",EmployerActive 8 days ago,"₹4,00,000 - ₹7,00,000 a year",2023-08-30,https://in.indeed.com/company/HOME-INTEL-INDIA-PRIVATE-LIMITED/jobs/Data-Scientist-d049750009bae508?fccid=8e0c353c50131427&vjs=3
33,Data Analytics,Data Scientist,EY,"Kochi, Kerala","Good to have experience in performing data governance and data maturity assessment.
Good experience in handling big volume of data.
A valid passport for travel.",PostedPosted 13 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=1d03d97dc363d46c&fccid=1544766d4c2915b0&vjs=3
34,Data Scientist,Data Scientist,Maan Source,"Delhi, Delhi","To manipulate data and draw insights from large data sets: 5 years (Required).
Minimum *5 Years’ HANDS-ON experience using statistical computer languages (R…",EmployerActive 2 days ago,"₹12,00,000 - ₹15,00,000 a year",2023-08-30,https://in.indeed.com/company/Maan-Source/jobs/Data-Scientist-ff0c84ca2a2a66b2?fccid=b8e00c022f23e543&vjs=3
35,Data Scientist,Data Scientist,PayU,"Hybrid remote in Bengaluru, Karnataka","Identify what data is available and relevant, including internal and external data sources, leveraging new data collection processes such as geo-location or…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=a3c43693786817ea&fccid=c1bec49d1ea92b43&vjs=3
36,Data Scientist,Data Scientist,Agnik,India,"AGNIK is hiring a Data Science Intern with some background in the following areas and strong motivation.
Some Experience in Programming in C++/Java/Distributed…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=08c443685b2f2ddc&fccid=0ad80630a67215ca&vjs=3
37,Data Science Engineer,Data Scientist,F(x) Data Labs PVT LTD,"Ahmedabad, Gujarat","Develop custom data models and algorithms to apply to data sets.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.",EmployerActive 6 days ago,"₹5,00,000 - ₹7,00,000 a year",2023-08-30,https://in.indeed.com/company/F(x)-Data-Labs-PVT-LTD/jobs/Data-Scientist-c4fcfe27e21d047c?fccid=62074cabcc5c06e0&vjs=3
38,Associate-Data Analytics,Data Scientist,Deutsche Bank,"Jaipur, Rajasthan","As a Data Scientist, your experience and expertise will be key in building and refining optimal data sourcing processes, maintaining a data provisioning service…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=4ebeec39f1c5cd88&fccid=f1d8e147024abb3f&vjs=3
39,Data Scientist (Machine Learning),Data Scientist,TechStep,"Hadapsar, Pune, Maharashtra","Sound knowledge of R, Python and different data mining tools (Advanced Excel, MySQL etc.).
Work on data enrichment and integrity frameworks and processes to add…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=11192ca6b24a25da&fccid=fc3782405cd7206a&vjs=3
40,"Associate Principal Engineer, Data Science",Data Scientist,Nagarro,Remote,"Company Description We're Nagarro. We are a digital product engineering company that is scaling in a big way! We build products, services, and experiences…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=7db7a56219d77ea0&fccid=be57e01618911e92&vjs=3
41,AI Data Scientist,Data Scientist,Shell,"Bengaluru, Karnataka","As an AI Data Scientist, you will work hands-on across project teams focusing on research and implementation of NLP models.",PostedPosted 18 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=1dcffab56425b126&fccid=167aa4ca2fe7d8e6&vjs=3
42,Senior Data Scientist,Data Scientist,Mastercard,"Gurgaon, Haryana+1 location","Perform data ingestion, aggregation, and processing on high volume and high dimensionality data to drive and enable data unification and produce relevant…",PostedPosted 16 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=a9f4563a817470d7&fccid=10b5c722d846df43&vjs=3
43,Data Scientist,Data Scientist,Decathlon India,"Bengaluru, Karnataka","Passion for data with strong analytical mindset and focus on drilling data for commercial insight.
Collaborate with stakeholders to define data requirements and…",EmployerActive 23 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=8e27c28917a0a8f9&fccid=c26cf8942059defd&vjs=3
44,Jr.Data Scientist / ML Engineer,Data Scientist,AppsTek Corp,"Hyderabad, Telangana","2+ years’ experience working as ML Engineer.
Knowledge of R, SQL, and Python.
Understanding of machine-learning concepts of supervised, unsupervised,…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=2b8ca77b5cf3ca30&fccid=da305d837b5f2266&vjs=3
45,DATA SCIENTIST,Data Scientist,Marktine Technology Solutions,+1 locationRemote,"The candidate should understand data science methods, and visualization techniques to leverage internal and external data to identify and develop ways to…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=4173ea7c688b42ce&fccid=4d1ce2b52f6f8920&vjs=3
46,Associate Sr. - Data Analytics,Data Scientist,JPMorgan Chase & Co,"Hyderabad, Telangana","Should be able to work directly with data owners/custodians and contribute in building analytics data hub.
The team encompasses a variety of disciplines from…",PostedPosted 21 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=d4897d7cd16688b4&fccid=c46d0116f6e69eae&vjs=3
47,Connected Car : Data Scientist,Data Scientist,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka","Rich experience Cloud data management solutions like Postgres, Redis, Event Hub, Kafka etc.
We collaborate with colleagues from various delivery hubs of Daimler…",PostedPosted 19 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=247a8f3709f5013c&fccid=9ab138c02aaca829&vjs=3
48,Data Analyst,Data Scientist,The White Willow,"Vadodara, Gujarat","Ensure data integrity and accuracy by implementing data validation and quality assurance processes.
Commissioning and decommissioning of data sets.",EmployerActive 1 day ago,?,2023-08-30,https://in.indeed.com/company/the-white-willow/jobs/Data-Analyst-a680714a2d5d8286?fccid=995309bc057855cf&vjs=3
49,Data Scientist,Data Scientist,LSEG (London Stock Exchange Group),"Bengaluru, Karnataka","Ability to handle large quantities of data.
Design and develop new methodologies, ML/NLP models, analysis, and commentary (as relevant) that enhance existing or…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=0bad08e213929e4c&fccid=2d181105260f6454&vjs=3
50,Data Science Online Trainer,Data Scientist,Prognoz,Remote,"1+ year experience in Data Science.
Must have worked on minimum 2 Data Science Projects and must have at least 50 hours experience in online training on Data…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=627cad5cd3adc60c&fccid=d3c16ab1f2de3595&vjs=3
51,Artificial Intelligence Intern,Data Scientist,Von Services,"Kochi, Kerala","Bachelor's or Master's degree in Computer Science, Data Science, Machine Learning, or a related field.
Strong understanding of machine learning concepts,…",EmployerActive 8 days ago,"₹30,000 - ₹40,000 a month",2023-08-30,https://in.indeed.com/company/G-Plus-Enterprises/jobs/Business-Intelligence-Analyst-Intern-6b79daa0eb95a631?fccid=4e84a4a81c8299b9&vjs=3
52,Data Scientist,Data Scientist,NextGen Invent Corp,"Remote in Gurgaon, Haryana","Develop data science solutions that can be tested and deployed in Agile delivery model.
Analyze large, complex data sets to reveal underlying patterns, and…",EmployerActive 14 days ago,?,2023-08-30,https://in.indeed.com/company/NextGen-Invent-Corp/jobs/Data-Scientist-94e3466c037233af?fccid=3b3e7ddcfe8d66ea&vjs=3
53,Analyst - Data Science,Data Scientist,Merilytics,"Hyderabad, Telangana","Familiarity with algorithms in recommendation systems, NLP or big data frame-works such as Hadoop/Spark is a bonus.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=97a3d806e7774a8d&fccid=1b874eee11ca2bd7&vjs=3
54,Feasibility Data Scientist,Data Scientist,ICON,"Hybrid remote in Bengaluru, Karnataka","Develop and use analytical tools to assess known and unknown information, uncertainties, and assumptions from multiple data sources, to provide data driven…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=bbf604961025db20&fccid=6c527578251bc5e1&vjs=3
55,Junior Data Science Team Member,Data Scientist,Imurgence,India,"Analyse data to help in better descision making.
Experience with common data science toolkits, such as R desirable.
Knowledge or experience of how APIs work.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=fce568ff8b4a9981&fccid=cd8492a732b8eb63&vjs=3
56,"Machine learning Engineer,",Data Scientist,Predictive Research,"Bengaluru, Karnataka","Our main focus is on Machine Learning, Artificial Intelligence, Neural Network,Big Data, Data Science and financial.
Total work: 1 year (Preferred).",EmployerActive 3 days ago,"₹2,40,000 - ₹3,20,000 a year",2023-08-30,https://in.indeed.com/company/Predictive-Research/jobs/Machine-Learning-Engineer-1f9113ee003e89da?fccid=5f47f858cf568909&vjs=3
57,Machine Learning Engineer,Data Scientist,Aidaptive,Remote in India,We're a global team with a track record of building world class enterprise products and are seeking talented Machine Learning Engineers to develop and optimize…,PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=237e8a4133b9b650&fccid=42e2758c0d96e77b&vjs=3
58,Data Scientist,Data Scientist,Puneri Pattern,Maharashtra,"The yearly salary of a data scientist can be as high as $150,000, making it the highest paying job role of 2022.
Find out about algorithms for Machine Learning.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=ebb1fe9d4e0a9467&fccid=466ad8b72ebe2849&vjs=3
59,Junior Data Scientist,Data Scientist,Marktine Technology Solutions,Remote,"Responsibilities: Design and develop strong analytics system and predictive models Managing a team of data scientists, machine learning engineers, and big data…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=d71f2548e7a03354&fccid=4d1ce2b52f6f8920&vjs=3
